row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_dollars,result_position,service_page_viewed,contact_id,hired
12056,343617261509468000,2018-11-21 01:14:22.15 UTC,Local Moving (under 50 miles),304123340312182000,46,4.63,2018-11-20 21:14:31.387 UTC,79.0,1,True,343617693710409000,False
13142,343684107674738000,2018-11-21 19:48:28.428 UTC,Local Moving (under 50 miles),304123340312182000,46,4.63,2018-11-21 14:11:35.819 UTC,79.0,1,True,343684277046255000,False
13165,344028308656422000,2018-11-25 19:25:09.314 UTC,Local Moving (under 50 miles),304123340312182000,46,4.63,2018-11-23 03:45:51.372 UTC,79.0,1,True,344028680248909000,False
19038,343284282804879000,2018-11-17 04:44:43.35 UTC,Local Moving (under 50 miles),304123340312182000,46,4.63,2018-11-17 00:55:33.158 UTC,79.0,1,True,343284611555287000,True
10123,340566080679411000,2018-10-16 17:41:21.597 UTC,House Cleaning,270298126447223000,46,4.93,2018-10-15 21:09:44.992 UTC,128.0,5,True,340566265443852000,True
25630,342474515443605000,2018-11-07 19:48:36.304 UTC,House Cleaning,280331161125479000,46,4.87,2018-11-06 00:33:20.98 UTC,85.0,2,True,342475030570827000,False
9462,340469771558387000,2018-10-15 14:56:12.268 UTC,House Cleaning,318723098874437000,46,4.83,2018-10-12 01:14:44.943 UTC,100.0,1,True,340472263016407000,False
21169,344390416730505000,2018-11-30 00:00:17.318 UTC,Local Moving (under 50 miles),334458608807936000,47,4.72,2018-11-29 15:41:07.488 UTC,89.0,1,True,344390707744317000,False
1554,339873603802833000,2018-10-08 17:20:04.571 UTC,House Cleaning,285721887859164000,47,4.91,2018-10-06 18:25:13.96 UTC,133.0,3,True,339874172682379000,False
9886,343500160076718000,2018-11-19 16:42:40.829 UTC,Local Moving (under 50 miles),235336004041991000,47,4.51,2018-11-19 16:30:41.793 UTC,120.0,2,True,343500388045881000,False
